Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
506,minding gap,2018,three young men bond together escape volatile family rust belt hometown face adult responsibility unexpected revelation threaten decadelong friendship,100,92.0,minding gap draw decade documentary footage assemble poignant picture young american life resonates far beyond onscreen subject,122,500,documentary,unknown,documentary,english,bing liu,bing liu diane moy quon,unknown,aug 17 2018 limited,aug 17 2018,unknown,1h 33m,kartemquin film,unknown,unknown,unknown,bing liu bing liu sally jo fifer bing liu diane moy quon bing liu bing liu joshua altman chris ruggiero
508,three identical stranger,2018,identical triplet become separated birth adopted three different family year later amazing reunion becomes global sensation also unearths unimaginable secret radical repercussion,97,88.0,surreal surprising three identical stranger effectively question nature reality identity,183,2500,documentary,pg13 mature thematic material,history documentary mystery thriller drama biography,english,tim wardle,grace hugheshallett becky read,grace hugheshallett,jun 29 2018 limited,oct 2 2018,123m,1h 36m,raw,unknown,flat 1851,unknown,david kellman lawrence wright ennis scotty murray silvi alzettareali tim wardle grace hugheshallett tom barry dimitri doganis grace hugheshallett
509,mcqueen,2018,archival footage interview friend family offer insight extraordinary life career british fashion designer alexander mcqueen,99,79.0,mcqueen offer intimate wellsourced overall moving look young life brilliant career tragically cut short,124,500,documentary,r language nudity,documentary,english united kingdom,ian bonhôte peter ettedgui,ian bonhôte andee ryder nick taussig paul van carter,peter ettedgui,jul 20 2018 limited,sep 25 2018,13m,1h 51m,misfit entertainment salon picture,unknown,unknown,unknown,bernard arnault jodie kidd kate moss michelle olley peter ettedgui peter ettedgui andee ryder nick taussig paul van carter alexander alexandrov
510,crip camp,2020,groundbreaking summer camp galvanizes teen disability,100,91.0,entertaining inspiring crip camp us one group remarkable story highlight hope future power community,96,100,documentary,r sexual referencessome language,documentary,english,jim lebrecht nicole newnham,james lebrecht,james lebrecht nicole newnham,unknown,mar 26 2020,unknown,1h 47m,higher ground production,unknown,unknown,unknown,dennis billups hollynn dlil judith heumann denise sherer jacobson lionel jewoodyard james lebrecht jim lebrecht nicole newnham james lebrecht nicole newnham barack obama michelle obama priya swaminathan tonia davis howard gertler james lebrecht
511,20 foot stardom,2013,filmmaker morgan neville shine longoverdue spotlight hitmaking contribution longtime backup singer like darlene love merry clayton,99,82.0,rich insightful occasionally heartbreaking 20 foot stardom energetic tribute passion talent hard work backup singer,128,10000,documentary,pg13 strong languagesexual material,documentary,english,morgan neville,gil friesen caitrin rogers morgan neville,unknown,jun 14 2013 limited,feb 14 2017,49m,1h 30m,tremolo production,unknown,unknown,unknown,david bowie ray charles sheryl crow lou adler patti austin chris botti morgan neville gil friesen caitrin rogers morgan neville george conrades art bilger peter morton joel ehrenkranz nicola b marsh
512,weiner,2016,former rep anthony weiner dny run mayor new york 2013 new sex scandal ruin attempt political comeback,97,83.0,weiner us sharp insight untrammeled access offer portrait political personal collapse thats queasy undeniably compelling,176,5000,documentary,r sexual materiallanguage,documentary,english,josh kriegman elyse steinberg,josh kriegman elyse steinberg,josh kriegman elyse steinberg eli despres,may 20 2016 limited,nov 30 2016,17m,1h 36m,edgeline film motto picture,unknown,unknown,unknown,anthony weiner huma abedin elyse steinberg elyse steinberg eli despres elyse steinberg julie goldman christopher clements carolyn hepburn
513,collective,2019,directed alexander nanau toto sister collective follows heroic team journalist uncover shocking widespread corruption deadly nightclub fire mysterious death owner powerful pharmaceutical firm quiet resignation health ministerseemingly unrelated event within week otherthe team intrepid reporter expose much larger much explosive political scandal collective fastpaced realtime detective story truth accountability value independent press partisan time,99,92.0,collective present darkly effective overview cycle political corruption public cynicism take hold government abrogates responsibility people,116,100,documentary,unknown,documentary,romanian,alexander nanau,hanka kastelicová bernard michaux alexander nanau bianca oana,alexander nanau antoaneta opris,nov 20 2020 limited,nov 20 2020,unknown,1h 49m,alexander nanau production samsa film hbo europe,unknown,flat 1851,unknown,alexander nanau alexander nanau antoaneta opris alexander nanau bianca oana alexander nanau dana bunescu
515,dick johnson dead,2020,filmmaker elderly father stage death various way help face inevitable demise,100,78.0,dick johnson dead celebrates life bittersweet humor grace offering deeply resonant perspective mortality bargain,90,100,documentary,pg13 macabre imagesthematic element,documentary,english,kirsten johnson,katy chevigny marilyn ness,kirsten johnson nels bangerter,unknown,oct 2 2020,unknown,1h 29m,big mouth production netflix,unknown,unknown,unknown,kirsten johnson dick johnson kirsten johnson kirsten johnson nels bangerter katy chevigny marilyn ness megan ellison nels bangerter john lavin gabriella moses
516,free solo,2018,alex honnold completes first free solo climb famed el capitans 3000foot vertical rock face yosemite national park,97,93.0,free solo depicts athletic feat many viewer find beyond reason ground attempt passion universal,154,2500,documentary,pg13 brief strong language,documentary,english,elizabeth chai vasarhelyi jimmy chin,elizabeth chai vasarhelyi jimmy chin evan hayes shannon dill,unknown,sep 28 2018 limited,feb 12 2019,175m,1h 40m,little monster film itinerant medium,unknown,unknown,unknown,alex honnold tommy caldwell jimmy chin cheyne lempe dierdre wolownick peter croft elizabeth chai vasarhelyi jimmy chin elizabeth chai vasarhelyi jimmy chin evan hayes shannon dill walter parkes laurie macdonald tim pastore matt renner
517,last waltz,1978,seventeen year joining force backing band rockabilly cult hero ronnie hawkins canadian root rocker band call quits lavish farewell show san franciscos winterland ballroom nov 25 1976 filmed martin scorsese documentary feature standout performance rock legend bob dylan van morrison eric clapton joni mitchell muddy water well interview tracing group history discussing road life,98,94.0,among one best rock movie ever made last waltz revealing electrifying view classic band height,50,10000,documentary,pg,documentary,english,martin scorsese,robbie robertson,unknown,dec 31 1978 wide,apr 18 2017,3220k,1h 57m,last waltz inc,surround dolby stereo,flat 1851,unknown,robbie robertson ringo starr ron wood neil young paul butterfield eric clapton rick danko neil diamond dr john martin scorsese la johnson frank marshall robbie robertson jonathan taplin neil diamond michael chapman vilmos zsigmond boris leven
